UPC Number,Quantity,Section,Subsection,Name,Threshold,Aisle Number,Price,DistributorName,Cost
616029012407,10,Dairy,Milk,Oberweis Dairy Raspberry Lemonade,7,1,5,Oberweis,3
744473470334,5,Dairy,Milk,Milk Frozen Dessert Coconut,3,1,9,MilkyCoco,3
210006116143,7,Dairy,Cheese,Velveeta Cheese,7,2,7,Vella,5
510001507698,10,Meat,Chicken,Campbell's Soup On The Go Chicken,2,2,10,Campbell,8
311162111893,50,Meat,SeaFood,Mrs. Paul's Crispy Fish Tenders,20,4,12,Mrs.Paul,4
688267123580,10,Meat,SeaFood,Ahold Cooked Shrimp Large Tail-on,7,4,12,Ahold,5
724600034136,3,Packaged Product,Chips,Herr's Cut Potato Chips Ranch Flavored,1,3,3.99,Herr,1.99
380005968275,20,Packaged Product,Cereal,Kellogg's Frosted Mini-wheats Cereal,8,5,5,Kellogg,2
141003089001,21,Packaged Product,Cookies,Soft Baked Chocolate Cookies Mantauk,9,5,6.25,Mantuak,5.25
423272009480,35,Frozen Food,Dessert,Amy's Frozen Dessert Non-dairy Mocha Chocolate Chip,17,6,3,Amy,1
521590020156,16,Frozen Food,Yogurt,Organic Have Vanilla Nonfat Frozen Yogurt,15,6,3.25,Dieto,2.25
142500013521,60,Frozen Food,Vegetables,Birds Eye Steamfresh Frozen Vegetables,26,6,5,BirdsEye,3
688267141805,55,Cleaning Supplies,Dish Soap,Ultra Concentrated Dish Liquid Oxygenated Cleaning Formula,30,7,8.25,UltraCleano,4.25
794008437201,20,Cleaning Supplies,Body Wash,Suave Naturals Moisturizing Body Wash,5,7,14.55,Suave,10.55
623388797722,20,Cleaning Supplies,Oven Cleaner,Easy-off Oven Cleaner Lemon Scent,5,3,19.95,EasyLemonz,7.95
500005850174,27,Pet food,Cat food,Purina Friskies Rise & Shine Cat Food,11,8,7.99,Purina Friskies,3.99
178001364032,22,Pet food,Dog food,Beneful Incredibites Dog Food,17,8,8,Beneful,6
718590201292,12,Pet food,Bird food,Kaytee Wild Bird Food Basic Blend,2,8,6,Kaytee,5
700092506451,37,Kitchen wares,Bags, Compostable Tall Kitchen Bags ,25,9,1.99,Composobags,0.99
748209900225,25,Kitchen wares,Towel,Royal Crest White Kitchen Towel,4,10,5.25,RoyalKitchey,3.25
241311741022,20,Kitchen wares,Spatula Set,Kitchenaid 2 Piece Bamboo Spatula Set,5,9,16.25,Kitchenaid,13.25
733900105082,49,Seasonal Products,Candy,Airheads Assorted Mini Bars Holiday Sticker Fun - 12 Ct,20,11,3.95,Airheads,2.95
415200181076,30,Seasonal Products,Holiday lights,Smart Living Holiday Clear Mini Lights - 50 Ct,7,12,10,SmartLiving,7
132862632142,37,Seasonal Products,Cards,Greetings Holiday Cards Peace - 16 Ct,14,9,3,CardGreeters,2
510000750147,64,Produce,Fruit,Apple,15,11,1.44,Farm207,0.44
455875471104,40,Produce,Fruit,Mango,7,11,2.43,Farm207,1.43
719998700006,35,Produce,Vegetable,Radishes Organic,25,11,1.25,Usda Produce,0.5
